"","unique_group","p.val","r.sq","avg","acro","amplitude","q.val"
"Variable_76.2","A",0.105515779220942,0.14839744079796,-1.34889864398672,5.09288156438695,0.243861348570036,0.385409328216588
"Variable_76.3","C",0.00261024451558963,0.346151355106779,-1.31502849489032,0.823101865981123,0.243388082523291,0.0501191614898877
"Variable_77.1","B",0.110129107094293,0.141136228025123,3.36883783465929,23.6531344990006,0.620584444029651,0.397885806276154
"Variable_77.2","A",0.175165744042709,0.11700009758242,4.10987172662958,22.0163930485541,0.454255269782806,0.510378881868966
"Variable_77.3","C",0.820125093283632,0.0140643313207854,4.47167751393101,17.1211416685349,0.0942101963647812,0.964973090602404
"Variable_78.1","B",0.916018261648643,0.00603132281071013,4.27276680115502,0.955951317324367,0.0225783968299622,0.987175860503976
"Variable_78.2","A",0.86399714301988,0.0103875172637579,4.26100498040838,2.89264077779157,0.0312269057381072,0.964973090602404
"Variable_78.3","C",0.826782209152937,0.0134948293065133,4.2557857513248,6.11815409557296,0.0299572306870937,0.964973090602404
"Variable_79.1","B",0.475156333249409,0.0500234966717864,-2.94046153434527,14.0970296611381,0.261468597122761,0.770880792493005
"Variable_79.2","A",0.589591641072865,0.0370343217343847,-3.33648580082216,0.370748575435616,0.161656431909167,0.832364669749927
"Variable_79.3","C",0.0861718510244816,0.160627622744104,-3.52985725670668,15.1353336604665,0.259154370488882,0.348840264388263
"Variable_80.1","B",0.262141352887023,0.0882012289439842,5.9886109956038,23.585506795782,0.56988737071143,0.587068965985614
"Variable_80.2","A",0.0127587293547122,0.267680615007329,6.27009176074043,8.26000154404457,0.917320557358008,0.122483801805237
"Variable_80.3","C",0.204291613284272,0.107245225935036,6.43825117187883,22.187011517953,0.554204070029011,0.544777635424726
"Variable_81.1","B",0.0735517471601964,0.164716313410736,1.1881029432789,11.6965169510181,0.261473557164073,0.338539548572959
"Variable_81.2","A",0.0734545663612601,0.170146666653165,1.15348107601099,5.70497157601072,0.274574226503951,0.338539548572959
"Variable_81.3","C",0.248500952555298,0.0946653406517071,1.07968486791107,19.9473987604741,0.197734053265662,0.583752471579385
"Variable_82.1","B",0.896213568724371,0.00752852016311463,0.465963655413755,11.1347560691857,0.0926272825896566,0.971964107360186
"Variable_82.2","A",0.119336990178363,0.140876966424486,0.374869353322544,10.0201232584212,0.342571977100366,0.400972286999299
"Variable_82.3","C",0.660608062838274,0.0291797023678672,0.0587837073758423,9.35516290930442,0.074920765830348,0.87732928503423
"Variable_83.1","B",0.411373635109317,0.0594202649935502,1.77372270951311,2.46616763608441,0.726241071404486,0.735900023077845
"Variable_83.2","A",0.0281419567387608,0.225110828094341,2.21757021501176,21.2559471575954,1.18473122874195,0.192973417637217
"Variable_83.3","C",0.833943397588608,0.0128869392909653,3.0174748241373,22.2737704061118,0.119093219967438,0.964973090602404
"Variable_84.1","B",0.846703057771379,0.0114106218947578,1.36969490707407,6.73420625370143,0.110611514032235,0.964973090602404
"Variable_84.2","A",0.28703138822492,0.0852958050512459,1.25344664000362,22.3384581563511,0.175769970850746,0.599022027599833
"Variable_84.3","C",0.251891142691397,0.0937886597265516,1.08248567697429,12.5069072033995,0.148166723427044,0.583752471579385
"Variable_85.1","B",0.765356589752769,0.0182732863779294,2.30956619344378,4.58739889878746,0.143733358721135,0.948929203531108
"Variable_85.2","A",0.13170804147907,0.134802683622836,2.12399714890309,21.1054118438742,0.239366170584605,0.425461129452645
"Variable_85.3","C",0.166504989037554,0.12019249809414,2.02546431242594,12.8474642975051,0.152010648439403,0.495094480678036
"Variable_86.1","B",0.540319168678684,0.041566257936937,0.926225219793643,6.84991590573663,0.187882554626768,0.814113186888063
"Variable_86.2","A",0.501627516423061,0.0480839093351202,0.717418652974061,22.1047910692329,0.125497791166405,0.79129974421666
"Variable_86.3","C",0.0104178778419135,0.278206769966326,0.676829395803361,9.13518559061787,0.229084457648261,0.116199716832826
